customer_index,risk_level,churn_probability,top_reason_1,top_reason_2,top_reason_3,recommended_action
1155,HIGH,0.7814,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1158,HIGH,0.8527,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1159,HIGH,0.7854,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1163,HIGH,0.7828,InternetService_Fiber optic,contract_risk,StreamingMovies_Yes,Investigate service quality complaints
1164,HIGH,0.9289,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1171,HIGH,0.8226,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1172,HIGH,0.8253,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1175,HIGH,0.9382,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1178,HIGH,0.8796,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1182,HIGH,0.7333,InternetService_Fiber optic,TotalCharges,contract_risk,Investigate service quality complaints
1188,HIGH,0.8737,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1191,HIGH,0.7784,InternetService_Fiber optic,contract_risk,StreamingTV_Yes,Investigate service quality complaints
1197,HIGH,0.9267,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1200,HIGH,0.7038,InternetService_Fiber optic,has_multiple_services,contract_risk,Investigate service quality complaints
1208,HIGH,0.7536,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1211,HIGH,0.9037,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1213,HIGH,0.7522,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1215,HIGH,0.8474,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1216,HIGH,0.7963,InternetService_Fiber optic,contract_risk,payment_risk,Investigate service quality complaints
1220,HIGH,0.7019,InternetService_Fiber optic,TotalCharges,contract_risk,Investigate service quality complaints
1221,HIGH,0.9764,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1222,HIGH,0.9384,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1223,HIGH,0.7778,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1224,HIGH,0.7984,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1225,HIGH,0.7333,InternetService_Fiber optic,has_multiple_services,contract_risk,Investigate service quality complaints
1229,HIGH,0.7343,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1233,HIGH,0.9191,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1236,HIGH,0.7947,InternetService_Fiber optic,contract_risk,StreamingTV_Yes,Investigate service quality complaints
1249,HIGH,0.716,tenure,charges_per_month_ratio,contract_risk,Assign dedicated customer success manager
1250,HIGH,0.7936,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1252,HIGH,0.9258,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1257,HIGH,0.8491,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1259,HIGH,0.9419,tenure,charges_per_month_ratio,InternetService_Fiber optic,Assign dedicated customer success manager
1267,HIGH,0.8464,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1269,HIGH,0.8338,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1270,HIGH,0.8099,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1274,HIGH,0.8916,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1285,HIGH,0.902,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1286,HIGH,0.8528,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1288,HIGH,0.8588,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1289,HIGH,0.9337,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1292,HIGH,0.7646,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1298,HIGH,0.8212,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1300,HIGH,0.8711,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1320,HIGH,0.7504,InternetService_Fiber optic,contract_risk,TotalCharges,Investigate service quality complaints
1327,HIGH,0.7381,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1333,HIGH,0.8167,tenure,charges_per_month_ratio,InternetService_Fiber optic,Assign dedicated customer success manager
1334,HIGH,0.7803,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1338,HIGH,0.8939,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1339,HIGH,0.8151,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1346,HIGH,0.7701,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1352,HIGH,0.7022,InternetService_Fiber optic,contract_risk,TotalCharges,Investigate service quality complaints
1355,HIGH,0.937,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1366,HIGH,0.9185,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1373,HIGH,0.7833,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1377,HIGH,0.7334,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
1378,HIGH,0.7264,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
1379,HIGH,0.7969,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
1386,HIGH,0.7117,InternetService_Fiber optic,contract_risk,TotalCharges,Investigate service quality complaints
1390,HIGH,0.7455,InternetService_Fiber optic,contract_risk,TotalCharges,Investigate service quality complaints
1393,HIGH,0.9225,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
1396,HIGH,0.819,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
1399,HIGH,0.864,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
